day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
30,0.92515,0.35562,0.38597,0.99428,0.31695,0.26652,-0.00461,0.29221,0.34177,0.61180,0.09103,1.35228,1.26422,0.28911,0.31065,0.26470,0.32219,0.36214,0.35711,0.26574,0.27629,0.27931,0.24873,-0.00569,0.29643,0.23316,0.28357,0.26595,0.36484
31,0.73798,0.42781,0.46829,0.74722,0.38133,0.32172,-0.00246,0.35243,0.41306,0.35396,0.08856,1.12396,1.08638,0.34281,0.36920,-0.02011,0.38170,0.42640,0.42599,0.31259,0.33211,0.32802,0.30164,-0.00568,0.35926,0.27301,0.34181,0.31924,0.42895
32,0.54877,0.49927,0.55222,0.74338,0.44715,0.38056,0.04361,0.40692,0.48463,0.11324,0.02741,0.94515,0.99105,0.41388,0.45500,-0.13972,0.44922,0.49702,0.52757,0.33919,0.40334,0.34027,0.35897,-0.00568,0.41875,0.31004,0.40230,0.37072,0.48776
33,0.47672,0.55039,0.60511,0.12387,0.48710,0.41946,0.04154,0.44223,0.52335,0.05087,0.04551,0.52501,0.57828,0.43169,0.48042,-0.34832,0.46351,0.49199,0.55024,0.32965,0.43499,0.32391,0.38062,-0.00563,0.44858,0.30140,0.43308,0.40300,0.52850
34,-0.08552,0.60333,0.64774,-0.41830,0.52440,0.45203,-0.00128,0.47915,0.55281,-0.26847,0.11736,-0.19658,-0.30981,0.41597,0.47575,-0.42518,0.47507,0.50886,0.53489,0.35796,0.44875,0.33820,0.39311,-0.00569,0.47264,0.30709,0.45506,0.43418,0.57194
35,-0.37566,0.68261,0.72962,-0.42615,0.59371,0.49922,0.05768,0.54161,0.61724,-0.41620,0.22256,-0.38335,-0.40466,0.44417,0.48818,-0.42490,0.48456,0.52649,0.52862,0.41432,0.46673,0.41327,0.45426,-0.00567,0.53396,0.35276,0.51811,0.49254,0.65008
36,-0.35338,0.76507,0.81683,-0.42054,0.66369,0.54847,0.09978,0.60317,0.68795,-0.39442,0.24525,-0.34616,-0.40068,0.49481,0.50427,-0.42552,0.48484,0.51393,0.52534,0.41405,0.49958,0.41190,0.52554,-0.00565,0.60056,0.39823,0.58897,0.55710,0.73030
37,-0.35180,0.83478,0.88607,-0.40536,0.71529,0.59349,0.05598,0.65019,0.74613,-0.37302,0.21685,-0.31136,-0.39593,0.54497,0.53210,-0.42633,0.50455,0.52220,0.55420,0.42013,0.55078,0.41522,0.58311,-0.00565,0.65254,0.41715,0.64515,0.61290,0.79272
38,-0.37262,0.88738,0.94149,-0.37259,0.75400,0.63505,-0.32823,0.67902,0.78284,-0.36895,-0.08271,-0.25177,-0.37884,0.58197,0.55581,-0.42468,0.44892,0.45476,0.59586,0.21714,0.58501,0.17168,0.61663,-0.00568,0.66260,0.40975,0.68281,0.65266,0.83399
39,-0.40947,0.94207,0.99931,-0.40096,0.80447,0.68028,-0.16305,0.71392,0.82056,-0.39003,0.04011,-0.30258,-0.40054,0.57680,0.58058,-0.42673,0.48990,0.50204,0.62326,0.30071,0.61753,0.27863,0.64245,-0.00569,0.69145,0.41826,0.71855,0.69225,0.87920
