day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
32,49.14571,48.86387,50.74446,49.25429,50.04762,47.75508,50.78946,47.84275,50.23063,48.44946,50.98471,47.63687,49.67917,50.61112,49.99708,48.59533,50.40692,51.25671,51.15571,50.70996,49.29329,51.14313,48.42417,53.03821,50.13842,51.58650,49.49988,47.54975,46.99004
33,28.86500,24.71375,25.28025,22.60988,22.03479,20.10533,25.95179,18.85329,19.32958,30.22342,24.56713,26.38492,26.25933,19.64808,20.02554,20.21917,20.99183,21.05612,20.06479,22.85625,19.43175,22.90200,18.78821,20.36575,19.21967,19.60329,20.32621,21.54654,24.02342
34,53.65604,51.61413,51.70721,49.99692,50.16142,48.60446,53.66979,47.84921,49.23354,53.59783,52.93083,50.63879,52.75587,49.56633,49.15779,48.12979,49.97688,50.78183,50.09917,51.51708,48.52096,51.94879,47.86446,51.53792,49.10817,50.22100,49.20129,49.72088,52.41138
35,62.55613,58.36971,60.20383,59.41329,59.04038,56.53137,62.28271,56.43079,58.77367,62.59713,61.65167,60.17117,61.73675,59.08387,58.67012,57.68125,59.36912,60.01483,59.54117,60.55996,57.97350,60.87796,57.05258,61.41262,58.64929,59.99808,58.24163,56.58617,56.59746
36,63.22362,55.47283,57.22779,59.62004,56.88692,55.14158,62.66563,55.52463,57.75454,63.36263,61.91858,60.74263,62.20225,58.59825,58.46058,57.59342,59.38337,59.99396,59.30521,60.70733,57.51792,61.00808,56.38908,60.66575,57.93704,59.19921,56.68542,54.72129,54.27613
37,56.33383,42.66092,43.37558,49.82033,43.23683,42.39296,54.41096,42.89958,44.70133,57.49796,53.11492,52.27537,53.89492,46.74042,47.31021,46.58100,48.98913,49.64608,48.15671,51.14529,45.73892,51.49563,44.08817,47.60317,45.46100,46.41883,43.46762,42.02592,42.45438
38,33.72329,33.24683,33.14579,30.10087,31.62667,30.71992,31.69217,29.93788,30.26271,34.75083,30.90342,32.69479,32.05367,29.37750,29.02546,29.21763,29.06467,28.98746,28.88092,30.01950,29.32892,29.98129,29.52121,30.67633,29.76079,30.13600,30.69675,31.77721,34.07071
39,50.40113,50.39713,50.65879,46.84779,48.75458,46.72188,50.36625,45.79683,47.36558,50.08138,49.55183,47.46346,49.64454,46.89279,46.14475,45.21471,46.62496,47.29875,46.90125,48.14825,45.96787,48.50700,45.65925,49.20038,46.87929,48.03829,47.52883,48.04479,51.04592
40,64.75017,63.92642,65.45358,63.53787,63.91925,60.94229,66.94483,60.58296,63.50412,62.62167,66.46421,61.97204,65.79904,63.93467,63.26267,61.70067,64.07904,65.09429,64.60454,65.32404,62.35350,65.83246,61.22125,67.00908,63.33558,65.13238,62.88500,61.47217,62.85862
41,51.40317,59.40892,58.69854,52.16313,57.51746,56.30196,53.62250,55.34717,56.40479,49.42879,53.56196,50.53458,52.83617,54.65288,53.19500,52.29379,52.69679,53.25246,53.78150,53.14125,53.93850,53.43321,54.56946,57.45371,55.43858,56.48158,56.58229,57.79087,61.35258
