day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
40,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445
41,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736,0.37736
42,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029,0.38029
43,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324,0.38324
44,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621,0.38621
45,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920,0.38920
46,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221,0.39221
47,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523,0.39523
48,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826,0.39826
49,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132,0.40132
